x1,x2,x3,x4,x5,x6
99,756,-951,-952,-914,675
-753,437,-663,803,59,-265
-722,400,-698,791,131,-107
-466,734,-250,123,-1020,268
-535,565,-83,199,-1118,184
-767,313,-624,862,72,-201
480,753,936,530,-1,667
-388,518,-179,-8,-960,239
-738,432,-790,977,-81,-229
155,409,245,-19,-301,335
-535,563,71,72,-1075,334
-38,517,1078,-177,578,79
-643,607,-49,237,-1062,245
-31,924,690,-146,359,97
592,869,1005,874,-84,586
-242,913,1016,-95,450,-139
-299,653,987,-143,570,98
207,495,269,-71,-155,217
-90,985,880,-453,603,52
91,786,-860,-717,-1159,702
229,798,-830,-905,-1024,712
-724,438,-764,966,-137,-129
-811,280,-609,905,132,-23
808,917,940,636,55,543
90,891,-949,-800,-877,801
-427,533,-188,54,-1117,288
85,769,-908,-930,-709,440
592,887,1116,572,-46,423
-265,724,916,-399,594,19
538,689,1096,702,-75,501
-2,275,324,121,-60,323
-152,712,1101,-133,715,-30
-631,694,127,183,-951,300
182,1024,-924,-657,-1044,667
-908,121,-617,911,-11,-280
144,276,354,279,-34,273
-161,799,985,-198,507,-85
-602,223,-692,920,59,-366
229,833,-1000,-625,-1045,511
-636,563,-246,221,-1083,263
-253,614,-77,190,-953,454
130,824,-822,-841,-1089,792
134,852,-941,-884,-1026,697
140,498,141,50,-165,262
-123,836,972,-416,587,134
-871,268,-711,877,77,-229
442,618,1044,510,52,622
50,1033,-910,-944,-863,798
-102,816,1055,-383,651,19
86,532,136,243,-124,352
-844,134,-845,943,35,-227
-750,81,-636,847,-3,-83
311,837,-934,-770,-958,737
-6,551,274,219,-215,243
696,698,1010,622,9,480
-184,671,1003,-197,406,93
-195,877,1002,-352,660,-60
563,741,985,639,-180,418
-24,762,-951,-701,-878,723
580,755,976,482,0,548
113,453,145,65,-295,242
-31,457,201,-27,-100,274
-419,294,-184,184,-998,489
37,425,11,108,-100,300
-518,258,-725,741,10,-242
-809,317,-667,985,120,-146
-666,330,-788,769,96,-224
125,853,-672,-847,-1009,667
631,796,837,548,-51,520
-155,760,1100,-164,620,71
-372,539,-62,97,-841,94
139,844,-852,-739,-1044,632
250,577,221,127,-241,93
46,312,202,132,-146,322
82,960,-892,-905,-939,773
617,851,1100,640,-33,501
-350,681,931,-398,484,-89
-621,520,9,63,-1038,90
-126,799,908,-272,556,-55
-853,334,-703,909,149,-272
115,390,42,136,-243,296
-190,732,825,-240,621,54
-658,339,-747,763,-234,-55
490,836,979,737,124,530
-46,881,-780,-991,-914,834
176,831,-782,-879,-1034,668
-438,579,-251,-40,-940,292
28,415,162,274,-85,332
468,716,793,524,137,552
-820,327,-929,1021,19,-195
52,432,170,-47,-217,69
-7,288,34,284,-203,247
-32,839,-911,-761,-858,599
-27,508,44,68,-242,330
-217,765,772,-191,489,81
66,440,245,-187,42,330
-11,833,1004,-130,492,15
609,780,976,686,-122,569
-690,242,-742,715,-34,-143
-108,793,1021,-259,515,187
133,501,206,268,-139,331
-485,558,-92,144,-877,151
-974,420,-551,806,85,-115
-390,844,751,-188,515,223
114,493,443,184,-243,403
733,700,941,675,-43,546
169,1073,-720,-876,-927,764
27,955,1020,-174,373,70
192,722,-868,-924,-1077,551
696,754,809,471,74,443
34,394,138,53,-234,119
-714,659,-86,-47,-998,296
577,615,979,589,-67,599
-147,753,889,-355,601,224
-122,735,-892,-961,-1062,621
-701,216,-656,856,91,-267
-386,480,-187,341,-958,177
694,709,1001,616,-156,585
632,713,940,584,45,541
585,781,937,607,-191,525
-752,270,-710,880,179,-210
84,538,92,16,-191,301
-848,405,-861,758,125,-146
-96,684,1011,-258,588,107
268,871,-853,-591,-987,639
-908,234,-681,875,-52,-305
11,714,862,-285,399,9
-171,641,1014,-205,486,89
183,882,-833,-862,-862,878
577,749,1058,668,-118,451
-42,784,1007,-225,543,-58
66,822,-725,-835,-1039,618
-487,539,-130,251,-932,239
-505,550,40,48,-922,234
520,846,863,641,-117,633
-43,789,908,-313,438,137
-406,607,-66,291,-968,263
470,772,917,566,-17,462
-133,802,1014,-244,629,-38
130,812,-763,-785,-909,662
-724,396,-745,888,-8,-66
-554,453,27,45,-822,268
3,389,203,127,73,287
20,484,138,92,-216,359
206,745,-880,-911,-954,485
-455,526,-43,158,-996,209
43,471,89,167,-3,84
-766,247,-766,906,100,-156
-650,442,-155,80,-939,396
-470,637,22,176,-1048,248
-378,604,-199,133,-938,348
581,845,1053,556,-104,673
649,807,1040,631,86,598
-808,105,-547,747,-236,-289
516,660,852,512,-9,566
-680,328,-805,1153,97,58
-803,232,-662,856,103,-230
25,292,47,150,-271,241
629,850,855,538,15,607
-154,707,1013,-119,730,143
611,829,915,608,-54,581
39,799,984,-255,548,-103
-899,474,-761,837,145,-99
-163,739,1035,-489,701,-5
47,623,300,98,-275,376
638,793,944,571,-55,568
-863,180,-850,782,219,-95
-709,351,-1012,977,224,-127
54,711,-754,-1030,-1082,761
-477,503,-106,219,-1093,376
-344,538,-127,-10,-871,456
2,395,159,137,-306,298
-603,260,-754,848,-139,-240
-370,601,-160,24,-1042,390
-33,384,198,261,-227,209
-227,748,1037,-103,853,50
-137,792,1021,-507,526,84
-713,206,-833,931,112,-165
149,372,219,57,-83,361
170,443,319,-33,-112,223
93,401,199,79,-224,210
-789,245,-791,951,-37,-222
-557,614,-140,41,-945,368
-650,468,-68,266,-862,294
-15,760,892,-291,420,-98
-424,539,-186,47,-882,50
127,987,-754,-925,-1081,634
130,851,-926,-837,-912,628
-825,240,-702,823,50,-92
-734,377,-824,834,110,-424
515,653,942,560,-41,546
583,883,1007,586,-171,585
-17,738,858,-354,539,29
395,810,-1004,-894,-922,684
164,384,72,-44,-83,275
648,726,928,398,-191,565
873,758,822,724,-107,494
-572,556,-248,0,-775,311
87,364,318,-18,-267,248
44,870,-894,-1004,-965,633
-222,718,-73,320,-926,187
-531,291,-659,921,87,-116
238,795,-896,-876,-941,626
-779,459,-710,1112,33,-33
-105,605,854,-213,618,119
-462,466,-85,128,-1058,336
125,341,89,58,-168,517
-220,704,698,-207,381,3
238,843,-917,-670,-930,433
-60,626,906,-145,413,96
183,866,-805,-783,-1095,661
654,816,997,420,89,591
211,937,-923,-1109,-747,504
-475,487,-47,330,-1107,273
-770,150,-745,818,4,-176
-208,473,-217,56,-1039,208
229,847,-731,-804,-1030,733
-320,717,813,-154,528,10
727,660,852,489,34,509
572,896,878,507,-54,393
-410,522,-41,96,-1059,377
125,420,296,121,-74,245
-900,329,-761,982,124,-290
-450,664,11,118,-1130,315
-744,349,-679,954,43,-247
-146,828,888,-537,637,101
-552,728,-66,36,-980,324
-145,772,948,-353,559,209
-382,651,-180,278,-1100,181
